"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 07 19:43:33 MSK 2024","Sun Jul 07 19:43:33 MSK 2024","504","Default Suite","QAEngineerJava","TestMTSBYPayFrame","TestMTSBYPayFrame","testPaySectionPlaceholdersDisplayed","Проверка надписей в незаполненных полях формы оплаты на главной странице",""
"passed","Sun Jul 07 19:43:33 MSK 2024","Sun Jul 07 19:43:33 MSK 2024","510","Default Suite","QAEngineerJava","TestMTSBYPayFrame","TestMTSBYPayFrame","testPaySectionPlaceholdersDisplayed","Проверка надписей в незаполненных полях формы оплаты на главной странице",""
"passed","Sun Jul 07 19:43:33 MSK 2024","Sun Jul 07 19:43:33 MSK 2024","501","Default Suite","QAEngineerJava","TestMTSBYPayFrame","TestMTSBYPayFrame","testPaySectionPlaceholdersDisplayed","Проверка надписей в незаполненных полях формы оплаты на главной странице",""
"passed","Sun Jul 07 19:43:33 MSK 2024","Sun Jul 07 19:43:33 MSK 2024","470","Default Suite","QAEngineerJava","TestMTSBYPayFrame","TestMTSBYPayFrame","testPaySectionPlaceholdersDisplayed","Проверка надписей в незаполненных полях формы оплаты на главной странице",""
"passed","Sun Jul 07 19:43:33 MSK 2024","Sun Jul 07 19:43:33 MSK 2024","483","Default Suite","QAEngineerJava","TestMTSBYPayFrame","TestMTSBYPayFrame","testPaySectionPlaceholdersDisplayed","Проверка надписей в незаполненных полях формы оплаты на главной странице",""
"passed","Sun Jul 07 19:43:33 MSK 2024","Sun Jul 07 19:43:34 MSK 2024","304","Default Suite","QAEngineerJava","TestMTSBYPayFrame","TestMTSBYPayFrame","testPaySectionPlaceholdersDisplayed","Проверка надписей в незаполненных полях формы оплаты на главной странице",""
"passed","Sun Jul 07 19:43:33 MSK 2024","Sun Jul 07 19:43:33 MSK 2024","523","Default Suite","QAEngineerJava","TestMTSBYPayFrame","TestMTSBYPayFrame","testPaySectionPlaceholdersDisplayed","Проверка надписей в незаполненных полях формы оплаты на главной странице",""
"passed","Sun Jul 07 19:43:34 MSK 2024","Sun Jul 07 19:43:37 MSK 2024","3593","Default Suite","QAEngineerJava","TestMTSBYPayFrame","TestMTSBYPayFrame","testPayFramePhoneAndSum","Проверка номера телефона и суммы в окне оплаты",""
"passed","Sun Jul 07 19:43:33 MSK 2024","Sun Jul 07 19:43:33 MSK 2024","457","Default Suite","QAEngineerJava","TestMTSBYPayFrame","TestMTSBYPayFrame","testPaySectionPlaceholdersDisplayed","Проверка надписей в незаполненных полях формы оплаты на главной странице",""
"passed","Sun Jul 07 19:43:37 MSK 2024","Sun Jul 07 19:43:37 MSK 2024","34","Default Suite","QAEngineerJava","TestMTSBYPayFrame","TestMTSBYPayFrame","testPayFrameLabels","Проверка надписей в незаполненных полях данных карты в окне оплаты",""
"passed","Sun Jul 07 19:43:37 MSK 2024","Sun Jul 07 19:43:37 MSK 2024","34","Default Suite","QAEngineerJava","TestMTSBYPayFrame","TestMTSBYPayFrame","testPayFramePaySystemIcons","Проверка наличия иконок платежных систем в окне оплаты",""
